tier,fuente,fecha,negocio,telefonos,direccion,metodo,score,shop_id,shop_name,shop_muni,candidato_revisar
auto,01_06_2026.docx,2026-06-01,PITBIKER,5580559279,"Josefa Ortíz de Domínguez 2, San Antonio, Iztapalapa, 09920 Ciudad de México, CDMX",telefono,1,dyP7QkKLC99reaL5zAgS,TALLER DE MOTOS PITBIKER,Iztapalapa,
auto,01_06_2026.docx,2026-06-01,Servimotos Ruba,5527644527,"CANAL DE GARAY, 6, JOSE LOPEZ PORTILLO, Iztapalapa, CIUDAD DE MÉXICO",telefono,1,WZMGRtxzWVHMhROolCTP,SERVIMOTOS RUBA,Iztapalapa,
auto,01_06_2026.docx,2026-06-01,Los viejos tiempos,5618356513,"JOSÉ CLEMENTE OROZCO, 18, VALLE DE SAN LORENZO, Iztapalapa, CIUDAD DE MÉXICO",telefono,1,loexSDyJD4fe3DZugVv9,LOS VIEJOS TIEMPOS,Iztapalapa,
auto,01_06_2026.docx,2026-06-01,Moto servicio fiu fiu,56 2511 1588,"09970, Valle de San Lorenzo, Iztapalapa, 09970 Ciudad de México, CDMX, México",telefono,1,qU9CERpOGOyQmbldeGIQ,Moto servicio fiu fiu,,
auto,01_06_2026.docx,2026-06-01,Moto servicio Ges,5630728777,"CHIMALPOPOCA, 10, EL MOLINO, Iztapalapa, CIUDAD DE MÉXICO Contacto principal:",telefono,1,EXdzZ5Ow5op4WhNZg0T7,MOTO SERVICIO GES,Iztapalapa,
auto,01_06_2026.docx,2026-06-01,Taller de motos Joshua,556 3535 2040,"Agapandos 24, El rosario, Iztapalapa 09930, CIUDAD DE MEXICO",telefono,1,g1qd6jFbRzOYULCOvooh,Taller de motos JOSHUA,,
auto,01_06_2026.docx,2026-06-01,MW MOTOS,,"PUERTA DE ÁVILA, 46, SAN LORENZO TEZONCO, Iztapalapa, CIUDAD DE MÉXICO",nombre+municipio,1,l2XLZI245nleGOfeGSwL,MW MOTOS,Iztapalapa,
review,01_06_2026.docx,2026-06-01,Deportes de moto,,"ALDAMA, BARRIO DE SAN LORENZO, Iztapalapa, CIUDAD DE MÉXICO",nombre+municipio,0.571,sbSqrQx9jdKqbYetnyK3,MOTO SPORT,Iztapalapa,
auto,01_06_2026.docx,2026-06-01,Taller de motos sin nombre,5570321048,"PINO SUÁREZ, 17, BARRIO SAN ANTONIO, Iztapalapa, CIUDAD DE MÉXICO",telefono,1,dkVTP4db7YmBQqNZzHTl,TALLER DE MOTOS SIN NOMBRE,Iztapalapa,
auto,01_06_2026.docx,2026-06-01,Motos el Pato,7721077086,"EJIDO, 17, BARRIO SAN ANTONIO, Iztapalapa, CIUDAD DE MÉXICO",telefono,1,XsJyEr9jg5LtbsA63LL5,TALLER DE MOTOS EL PATO,Iztapalapa,
auto,01_06_2026.docx,2026-06-01,MOTOS REYNA,5511882596,"EMILIANO ZAPATA, 27, BARRIO SAN ANTONIO, Iztapalapa, CIUDAD DE MÉXICO",telefono,1,PNvHwWxtEsrBhl9RuZsG,SERVICIO DE MOTOS REYNA,Iztapalapa,
auto,01_06_2026.docx,2026-06-01,Taller de motocicletas,,"FRANCISCO X SALAZAR, 42, BARRIO DE GUADALUPE, Iztapalapa, CIUDAD DE MÉXICO Contacto principal:",nombre+municipio,1,TctOkNYkJuneHn1Mdlg9,TALLER DE MOTOCICLETAS,Iztapalapa,
auto,01_07_2026.docx,2026-07-01,Taller de motos y gutiérrez y contreras,55 5152 2324,"6ta privada de de, Av. Av Canal Nacional, San Antonio Culhuacan, Iztapalapa, 09800 Ciudad de México, CDMX, MéxicoContacto principal:",telefono,1,ScTOMKHBLswL71orhVXw,Taller de Motos Gutiérrez y Contreras,,
auto,01_07_2026.docx,2026-07-01,RL motociclismo,5556089638,"JOSE MARIA MORELOS, 70, SAN ANTONIO CULHUACAN, Iztapalapa, CIUDAD DE MÉXICO",telefono,1,XtcEB99JaXSZGHrVaIos,R L MOTOCICLISMO,Iztapalapa,
auto,01_07_2026.docx,2026-07-01,El doctor motos,5545632616,"TLAHUAC, 818, CULHUACAN, Iztapalapa, CIUDAD DE MÉXICO",telefono,1,N29aKVHoYSna6d5WBhtG,THE DOCTOR MOTOS,Iztapalapa,
auto,01_07_2026.docx,2026-07-01,Reparación de motocicletas,5540161579,"HERMANOS WRIGHT, 92, FUEGO NUEVO, Iztapalapa, CIUDAD DE MÉXICO",telefono,1,Vkdzu7LOV5ofAx5xtgrp,REPARACION DE MOTOCICLETAS,Iztapalapa,
auto,02_06_2026.docx,2026-06-02,MOTO GARAGE EL MATA,5517799520,"TENIENTE JOSE ESPINOZA FUENTES, 828, ESCUADRON 201, Iztapalapa, CIUDAD DE MÉXICO Contacto principal:",telefono,1,EojWVSeQveCPBgD5pdem,MOTO GARAGE EL MATA,Iztapalapa,
auto,02_06_2026.docx,2026-06-02,Moto Zigma,5534223880,"2 Oriente (Calzada de la Viga), 1572, SECTOR POPULAR, Iztapalapa, CIUDAD DE MÉXICO Contacto principal:",telefono,1,tXFJDjWCErqnQtn6YbQ4,MOTOS ZIGMA,Iztapalapa,
review,02_06_2026.docx,2026-06-02,KAWASAKI (Joab Stunt),+525565431616,"Sector Popular, Héroes de Churubusco, Iztapalapa, 09090 Ciudad de México, CDMXContacto principal:",nombre+municipio,0.56,kvs6MjzxDn0ObIOVnDRe,KAWASAKI,Iztapalapa,
auto,02_06_2026.docx,2026-06-02,Taller de motos rg,5516394064,"Atanasio G. Sarabia 352 local B, Héroes de Churubusco, Iztapalapa, 09090 Ciudad de México, CDMX",telefono,1,jAPPLQyDj3vJG5lXEAzd,TALLER MOTOS SIN NOMBRE,Iztapalapa,
auto,02_06_2026.docx,2026-06-02,Taller mecanico  parseo motors,5565852158,"PERSEO, 22, PRADOS CHURUBUSCO, Coyoacán, CIUDAD DE MÉXICO",telefono,1,IyGZeUWOE6yzDmqgalx0,TALLER MECANICO PERSEO MOTORS,Coyoacán,
auto,02_06_2026.docx,2026-06-02,TALLER DE REPARACIÓN DE MOTOCICLETAS GARAGE DE CHARLY,+525568409688,"UNICORNIO, 39, PRADOS CHURUBUSCO, Coyoacán, CIUDAD DE MÉXICO",nombre+municipio,1,pfG57vBFbV5eqeL4ZOr8,TALLER DE REPARACION DE MOTOCICLETAS GARAGE DE CHARLY,Coyoacán,
auto,02_07_2026.docx,2026-07-02,TALLER MECANICO SERVICIO ROCKO,+525527995356,"GANADEROS, 299, VALLE DEL SUR, Iztapalapa, CIUDAD DE MÉXICO",nombre+municipio,1,OEtYc4hwVe72VVzF1pJk,TALLER MECANICO SERVICIO ROCKO,Iztapalapa,
auto,02_07_2026.docx,2026-07-02,Pits motorion,5594932372,"5 DE MAYO, 335, SANTA BÁRBARA, Iztapalapa, CIUDAD DE MÉXICO",telefono,1,fcCfwNyAR868VVW9W9vJ,PITS MOTORION,Iztapalapa,
review,02_07_2026.docx,2026-07-02,TALLER MECANICO AUTOS Y MOTOS TIENDA MECÁNICA,5528927774 +525556861474,"AMPLIACIÓN ERMITA IZTAPALAPA, 136, BARRIO SAN LUCAS, Iztapalapa, CIUDAD DE MÉXICO",nombre+municipio,0.767,o9f21vZE6X6rv16Vqa4D,TALLER MECANICO AUTOS & MOTOS MECANIC SHOP,Iztapalapa,
auto,02_07_2026.docx,2026-07-02,Moto servicio Piver,5519917936 5523031826,"VISTA HERMOSA, 7, AMPLIACIÓN EL SANTUARIO, Iztapalapa, CIUDAD DE MÉXICO",nombre+municipio,1,p3qIvb5b937oa4A9Cspv,MOTO SERVICIO PIVER,Iztapalapa,
auto,02_07_2026.docx,2026-07-02,Motores Godike,5522444508,"CAPILLA DEL CARMEN, 7, EL SANTUARIO, Iztapalapa, CIUDAD DE MÉXICO",telefono,1,ODFwKwjdpVjlj0BiiGNF,GODIKE MOTORS,Iztapalapa,
auto,02_07_2026.docx,2026-07-02,Moto estrella,5561716525,"NINGUNO, 35, SAN PABLO, Iztapalapa, CIUDAD DE MÉXICO",telefono,1,TKHnHPi9Pd4vbmgUlQ4w,MOTO ESTRELLA,Iztapalapa,
auto,02_07_2026.docx,2026-07-02,Servicios de motos beden,,"5 ORIENTE AVENIDA JAVIER ROJO GOMEZ, 116, SAN PEDRO, Iztapalapa, CIUDAD DE MÉXICO",nombre+municipio,0.923,ESH8poSjvJRajRP0q5GP,SERVICIO DE MOTOS BEDEN,Iztapalapa,
auto,02_07_2026.docx,2026-07-02,AF-5 Servicio Técnico de Motocicletas,55 3903 0578,"Eucalipto Mz1 Lt3, El Manto, Iztapalapa, 09830 Ciudad de México, CDMX, México",telefono,1,WThoTyXGJn5g3G5WsfMb,AF-5 Servicio Técnico de Motocicletas,,
review,02_07_2026.docx,2026-07-02,SERVICIO DE MOTOS BEIKERS HERMANOS,5559432749 5543555983,"SAN LORENZO, PARAJE SAN JUAN, Iztapalapa, CIUDAD DE MÉXICO",nombre+municipio,0.793,Xgn05vptwFPUCIRgOdNU,SERVICIO DE MOTOS BEIKERS BROTHERS,Iztapalapa,
auto,02_07_2026.docx,2026-07-02,Taller de motos,5511510742,"LUIS HIDALGO MONROY, 627, CONSTITUCION DE 1917, Iztapalapa, CIUDAD DE MÉXICO",telefono,1,7a0kYRU68USRZpdUGevq,Taller de motos Constitucion De 1917 1,Iztapalapa,
auto,03_06_2026.docx,2026-06-03,Taller fran motos,5517309671,"SUR 25, 370, LEYES DE REFORMA 2A SECCIÓN, Iztapalapa, CIUDAD DE MÉXICO Contacto principal:",telefono,1,CCWS1hvUH2oyLFX6nLCE,TALLER DE REPARACION DE MOTOCICLETAS FRAN MOTOS,Iztapalapa,
